id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood_tags,instrumentalness,speechiness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,"euphoric,bright",0.04,0.10,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,74,2018,"nostalgic,calm",0.09,0.05,0.12
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,81,2021,"aggressive,driving",0.06,0.09,0.20
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,70,2017,"reflective,soft",0.12,0.04,0.11
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2022,"euphoric,energetic",0.02,0.08,0.15
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,67,2019,"peaceful,meditative",0.18,0.03,0.09
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,73,2016,"nostalgic,laid-back",0.10,0.05,0.14
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,79,2020,"moody,cinematic",0.05,0.06,0.16
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,76,2018,"focused,steady",0.08,0.04,0.10
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,85,2023,"euphoric,bright",0.03,0.07,0.13
11,Velvet Streets,Aura Lane,hip-hop,romantic,0.68,96,0.72,0.78,0.20,82,2021,"romantic,confident",0.04,0.10,0.17
12,Golden Highway,Maple Creek,country,nostalgic,0.61,104,0.69,0.72,0.40,77,2020,"nostalgic,heartfelt",0.07,0.06,0.12
13,Winter Orchard,Juniper Echo,folk,dreamy,0.45,88,0.74,0.54,0.81,72,2017,"dreamy,gentle",0.11,0.05,0.10
14,Afterglow Pulse,Solstice Kids,r&b,romantic,0.72,100,0.80,0.76,0.25,84,2022,"romantic,smooth",0.05,0.08,0.14
15,Neon Harbor,Pixel Drift,electronic,upbeat,0.84,128,0.63,0.85,0.08,86,2021,"energetic,bright",0.03,0.09,0.19
16,Quiet Harbor,Northwind,classical,peaceful,0.22,72,0.62,0.34,0.94,69,2015,"peaceful,serene",0.16,0.03,0.08
